5
9 10
1.0 3.0 2.0
2.1 5.2 1.5
7.793 9.93 2.611
6.548 4.774 1.546
4.255 13.488 3.031
8.375 2.341 1.812
1.023 12.274 1.543
7.523 7.074 1.563
4.372 6.834 1.702
6 15
2.7 17.1 4.35
12.3 16.8 4.35
6.6 12.75 3.15
6.975 7.875 3.15
12.525 6.375 4.35
2.1 3.3 4.35
6 25
4.5 28.5 7.25
3.5 5.5 7.25
20.5 28 7.25
11 21.25 5.25
11.625 13.125 5.25
20.875 10.625 7.25
6 13
1.82 2.86 3.77
2.34 14.82 3.77
5.72 11.05 2.73
6.045 6.825 2.73
10.66 14.56 3.77
10.855 5.525 3.77
3 7
3.5 5.25 3.535
1.05 1.05 0.35
5.95 1.05 3.5
